"","FID_1","modelLessVarsPredictedNoLabels"
"768","NT/58119/37313","PGRS"
"769","NT/58165/30734","WOSR"
"770","NT/58465/35287","PGRS"
"771","NT/56905/30334","WW"
"772","NT/58125/31988","PGRS"
"773","NT/59231/31370","PGRS"
"774","NT/56957/30895","PGRS"
"775","NT/58077/36468","PGRS"
"776","NT/57079/30611","PGRS"
"777","NT/59626/33160","WW"
"778","NT/59664/30232","WOSR"
"779","NT/57220/31555","WOSR"
"780","NT/58372/31389","PGRS"
"781","NT/57347/34043","PGRS"
"782","NT/56988/33072","PGRS"
"783","NT/56902/33205","PGRS"
"784","NT/58342/38799","PGRS"
"785","NT/58586/39753","PGRS"
"786","NT/57855/31040","WBS"
"787","NT/57724/39331","PGRS"
"788","NT/57876/39785","PGRS"
"789","NT/58478/31447","PGRS"
"790","NT/58942/32774","PGRS"
"791","NT/58877/33116","PGRS"
"792","NT/56978/39409","WOSR"
"793","NT/57239/39129","PGRS"
